****                   MendelIHT Version 1.4.6                  ****
****     Benjamin Chu, Kevin Keys, Chris German, Hua Zhou       ****
****   Jin Zhou, Eric Sobel, Janet Sinsheimer, Kenneth Lange    ****
****                                                            ****
****                 Please cite our paper!                     ****
****         https://doi.org/10.1093/gigascience/giaa044        ****

Running sparse Multivariate Gaussian regression
Number of threads = 32
Link functin = GLM.IdentityLink()
Sparsity parameter (k) = 4678
Prior weight scaling = off
Doubly sparse projection = off
Debias = off
Max IHT iterations = 20000
Converging when tol < 0.0001 and iteration ≥ 5:

Iteration 1: loglikelihood = 1.9900806693628624e6, backtracks = 0, tol = 0.05038374598183472

Trait 2: IHT estimated 14 non-genetic predictors
14×2 DataFrame
 Row │ Position  Estimated_β
     │ Int64     Float64
─────┼────────────────────────
   1 │        1   8.13693e-6
   2 │        2  -0.0211594
   3 │        3   0.00756145
   4 │        4   0.00690415
   5 │        5   0.00110957
   6 │        6  -0.00174214
   7 │        7   0.000776239
   8 │        8  -0.00162054
   9 │        9  -0.000428541
  10 │       10   0.000742035
  11 │       11  -0.000516303
  12 │       12   0.000412001
  13 │       13   0.00210243
  14 │       14  -0.00424999

Trait 3: IHT estimated 288 nonzero SNP predictors
288×2 DataFrame
 Row │ Position  Estimated_β
     │ Int64     Float64
─────┼────────────────────────
   1 │    10145  -0.00145107
   2 │    10160   0.00126437
   3 │    10164  -0.00102616
   4 │    10171   0.00112549
   5 │    18147  -0.00227747
   6 │    18165  -0.00324197
   7 │    18170  -0.00199215
   8 │    18171   0.00278647
   9 │    18172   0.000843137
  10 │    18174  -0.00188452
  11 │    18178   0.00277176
  12 │    18181  -0.00734344
  13 │    18182   0.00582349
  14 │    18183  -0.00745143
  15 │    18184   0.00729762
  16 │    18185   0.00741666
  17 │    18186   0.00743777
  18 │    18187  -0.00460279
  19 │    18188   0.00713357
  20 │    18189   0.0071974
  21 │    18191   0.00264992
  22 │    18197  -0.00293648
  23 │    18198  -0.00176679
  24 │    18212  -0.00172758
  25 │    18218  -0.00172719
  26 │    41946   0.000947861
  27 │    41950  -0.00130829
  28 │    41952  -0.0015686
  29 │    41954  -0.00157314
  30 │    41955  -0.00152913
  31 │    41956  -0.00162992
  32 │    41961  -0.000848585
  33 │    41964   0.00617994
  34 │    41965   0.00605016
  35 │    41966  -0.00322803
  36 │    41968   0.00491961
  37 │    41971  -0.0026722
  38 │    41972  -0.00338615
  39 │    41974   0.00216678
  40 │    41975   0.00513827
  41 │    41977   0.00551869
  42 │    41978   0.00558676
  43 │    41979   0.00553338
  44 │    41985   0.00458275
  45 │    41986   0.00522408
  46 │    41988   0.00421374
  47 │    41989   0.00391099
  48 │    41990   0.0040824
  49 │    41992  -0.00519191
  50 │    41997  -0.00399794
  51 │    42933  -0.00472919
  52 │    42934  -0.00431372
  53 │    42935  -0.00424755
  54 │    42936   0.000985524
  55 │    42938  -0.00158406
  56 │    42941   0.00101666
  57 │    42942   0.00101342
  58 │    42943   0.000918249
  59 │    42945   0.00102875
  60 │    42947   0.000945366
  61 │    45816  -0.0027297
  62 │    45817  -0.00280096
  63 │    45821  -0.00270831
  64 │    45822  -0.00349635
  65 │    45823  -0.00345652
  66 │   146505  -0.000251567
  67 │   146507   0.000305642
  68 │   146510  -0.000420851
  69 │   146511  -0.000176294
  70 │   146512  -0.000424967
  71 │   146513  -0.000331451
  72 │   146518   0.00034567
  73 │   146519   0.000342868
  74 │   146520  -0.000263651
  75 │   146522  -0.000361745
  76 │   146525   0.00237411
  77 │   146527   0.00204345
  78 │   146528   0.000635614
  79 │   146529   0.00262004
  80 │   146530   0.000974882
  81 │   146532   0.00201647
  82 │   146533  -0.000193766
  83 │   146536  -0.000176355
  84 │   146537   0.00238694
  85 │   146538   0.0022678
  86 │   146539   0.00049029
  87 │   146540   0.000638824
  88 │   146544   0.000488781
  89 │   146545   0.000793566
  90 │   146546   0.00238099
  91 │   146549   0.00332153
  92 │   146550  -0.000202003
  93 │   146552   0.00322358
  94 │   146553   0.000568622
  95 │   146554   0.00343677
  96 │   146557   0.00371526
  97 │   146558  -0.000186911
  98 │   146560   0.00369282
  99 │   146561   0.00396743
 100 │   146564   0.00370389
 101 │   146566   0.0038079
 102 │   146569   0.00271369
 103 │   146570  -0.000407014
 104 │   146572  -0.000316253
 105 │   146576   0.00362053
 106 │   146577   0.000725954
 107 │   146579   0.00278065
 108 │   146580  -0.000853671
 109 │   146581  -0.000389374
 110 │   146582   0.000365821
 111 │   146583  -0.000389077
 112 │   146585  -0.000354
 113 │   146586   0.000178124
 114 │   146587  -0.000353807
 115 │   146588  -0.00149677
 116 │   146589  -0.0004087
 117 │   146590  -0.000949263
 118 │   146591  -0.000297667
 119 │   146592  -0.000489458
 120 │   146593  -0.000252834
 121 │   146595  -0.000397825
 122 │   146596   0.00219583
 123 │   146597   0.000175387
 124 │   146598   0.00148987
 125 │   146602  -0.000338591
 126 │   146603  -0.000424758
 127 │   146605   0.000697495
 128 │   146606  -0.000243742
 129 │   146607   0.000409292
 130 │   146611  -0.000204026
 131 │   146612   0.000227153
 132 │   146615  -0.000254861
 133 │   146616   0.000319643
 134 │   146617   0.000325079
 135 │   146619  -0.000182823
 136 │   146620   0.000287117
 137 │   146628   0.000397071
 138 │   146630  -0.000274433
 139 │   146631   0.000252346
 140 │   146636  -0.000192499
 141 │   158405   0.00204073
 142 │   158406   0.00230311
 143 │   158407   0.0021546
 144 │   174915   0.00230581
 145 │   174926   0.00212189
 146 │   174927   0.000481124
 147 │   174933   0.000683824
 148 │   174936   0.000590623
 149 │   174985   0.0019002
 150 │   174986   0.000432006
 151 │   174988   0.00190042
 152 │   175000   0.00166293
 153 │   175005   0.00180763
 154 │   175032   0.00207618
 155 │   175040   0.00210964
 156 │   175041   0.0021606
 157 │   175075   0.0022099
 158 │   175096   0.00161748
 159 │   225488   0.00099214
 160 │   225489   0.000931573
 161 │   225490   0.00168895
 162 │   225491   0.00149892
 163 │   242599   0.00114577
 164 │   242601  -0.00436239
 165 │   242602  -0.00325071
 166 │   242603  -0.00423572
 167 │   242607  -0.00334696
 168 │   266000   0.000993985
 169 │   266003   0.000806865
 170 │   266004   0.000947149
 171 │   266006   0.000967066
 172 │   266007   0.00277616
 173 │   266008   0.00250758
 174 │   266009   0.00254379
 175 │   266010   0.0025239
 176 │   266011   0.00279772
 177 │   266021   0.00101093
 178 │   266031   0.00117901
 179 │   301456  -0.000854504
 180 │   301459  -0.00137954
 181 │   301462  -0.00138089
 182 │   301463  -0.00147819
 183 │   301464  -0.00101253
 184 │   301466  -0.00149513
 185 │   301467  -0.00146113
 186 │   301468  -0.00146361
 187 │   301469  -0.00133321
 188 │   301470  -0.0014001
 189 │   301471  -0.00147124
 190 │   301472  -0.000717686
 191 │   301473  -0.00155699
 192 │   301475  -0.000849954
 193 │   301476  -0.00155294
 194 │   301480  -0.0013346
 195 │   310010  -0.00699442
 196 │   312049   0.00170592
 197 │   312051   0.00195889
 198 │   312052   0.00193089
 199 │   312055   0.00187206
 200 │   391781  -0.00157728
 201 │   391788  -0.00101437
 202 │   391791  -0.00172345
 203 │   394184   0.00251714
 204 │   401797  -0.00212142
 205 │   408087  -0.00206227
 206 │   408092   0.00119082
 207 │   411582   0.00165091
 208 │   432723  -0.00150546
 209 │   432731  -0.00208397
 210 │   432735  -0.00281349
 211 │   432745  -0.00183583
 212 │   432746  -0.00187966
 213 │   432747  -0.00192356
 214 │   432754  -0.00719444
 215 │   432757  -0.00540191
 216 │   432759  -0.00723408
 217 │   432760  -0.00235572
 218 │   432761  -0.00157542
 219 │   434519  -0.0024708
 220 │   434532  -0.00410449
 221 │   434545  -0.00431249
 222 │   434553  -0.00272666
 223 │   434560  -0.00346682
 224 │   434561  -0.00342927
 225 │   434573  -0.00373287
 226 │   434574  -0.00378173
 227 │   434594  -0.0030785
 228 │   438286  -0.00303059
 229 │   438303  -0.00190562
 230 │   438325  -0.00308266
 231 │   438334  -0.00163562
 232 │   438339  -0.0021651
 233 │   438345  -0.00399709
 234 │   438363  -0.00214093
 235 │   438366  -0.00198315
 236 │   438383  -0.00165019
 237 │   438384  -0.000411987
 238 │   438391  -0.00210357
 239 │   438435  -0.00351909
 240 │   438439  -0.00283132
 241 │   438441  -0.00232569
 242 │   438442  -0.00335924
 243 │   438445  -0.0028089
 244 │   438448  -0.00547019
 245 │   438450  -0.00264292
 246 │   438455  -0.00611225
 247 │   438466  -0.00617728
 248 │   438467  -0.0036387
 249 │   438469  -0.0110122
 250 │   438470   0.0027803
 251 │   438476  -0.00475391
 252 │   438478  -0.00297646
 253 │   438479  -0.00806776
 254 │   438481  -0.00161139
 255 │   438483  -0.00557873
 256 │   438489  -0.00681063
 257 │   438492  -0.0070584
 258 │   438494  -0.007228
 259 │   438499   0.005653
 260 │   438500   0.00614355
 261 │   438505   0.00562759
 262 │   438507   0.0037114
 263 │   438509   0.0034653
 264 │   438511  -0.00634142
 265 │   438513   0.00289957
 266 │   438514   0.00295125
 267 │   438515  -0.00609199
 268 │   438516  -0.00303117
 269 │   438518  -0.0122749
 270 │   438519   0.00688261
 271 │   438520   0.00828706
 272 │   438521   0.00365792
 273 │   438525  -0.00685895
 274 │   438526   0.00918554
 275 │   438527   0.00369569
 276 │   438530  -0.0168539
 277 │   438531   0.0102765
 278 │   438533  -0.00640318
 279 │   438534  -0.00956261
 280 │   438536  -0.00283263
 281 │   438557  -0.0022888
 282 │   438562  -0.00224976
 283 │   438575  -0.00235278
 284 │   449460   0.000833477
 285 │   449595   0.0022457
 286 │   450535   0.00109128
 287 │   450537  -0.00145969
 288 │   450540   0.00209238

Trait 3: IHT estimated 14 non-genetic predictors
14×2 DataFrame
 Row │ Position  Estimated_β
     │ Int64     Float64
─────┼────────────────────────
   1 │        1  -1.3302e-5
   2 │        2   0.00967396
   3 │        3   0.00138631
   4 │        4   0.000532398
   5 │        5   0.000674373
   6 │        6  -0.00117821
   7 │        7   0.00115626
   8 │        8  -0.00196533
   9 │        9  -0.00175936
  10 │       10   0.000678193
  11 │       11   0.000271374
  12 │       12  -0.000193647
  13 │       13   0.000735877
  14 │       14   0.000440069

Trait 4: IHT estimated 226 nonzero SNP predictors
226×2 DataFrame
 Row │ Position  Estimated_β
     │ Int64     Float64
─────┼────────────────────────
   1 │    11577  -0.00278283
   2 │    11578  -0.00287823
   3 │    11579   0.0028758
   4 │    11580   0.0027812
   5 │    11581  -0.00274846
   6 │    11590   0.00262752
   7 │    31767   0.00219404
   8 │    31770   0.00190333
   9 │    33121   0.00138692
  10 │    33122   0.00132967
  11 │    33128   0.00309333
  12 │    33129   0.00310362
  13 │    33130   0.00309012
  14 │    33132   0.00306532
  15 │    33136  -0.00161528
  16 │    41945   0.0032455
  17 │    41952   0.003127
  18 │    41954   0.00306089
  19 │    41955   0.00310323
  20 │    41956   0.00310329
  21 │    41959  -0.00390312
  22 │    41963   0.00396893
  23 │    41967   0.00390698
  24 │    70930  -0.000595824
  25 │    70931  -0.00068774
  26 │    70932  -0.000595076
  27 │    70933  -0.000649397
  28 │    70935  -0.000630615
  29 │   121556  -0.000888647
  30 │   121597  -0.00215125
  31 │   121617  -0.000920716
  32 │   208925   0.00119956
  33 │   208926   0.00156525
  34 │   208927   0.00116643
  35 │   208928   0.00123824
  36 │   208934   0.00155493
  37 │   208939   0.00103927
  38 │   208941   0.00103441
  39 │   208948   0.000826343
  40 │   208951   0.000739962
  41 │   208952   0.000824162
  42 │   208954   0.00113897
  43 │   225486   0.00285934
  44 │   225487   0.00297573
  45 │   225488   0.00368916
  46 │   225489   0.00357933
  47 │   225490   0.00316086
  48 │   225491   0.00328261
  49 │   225497  -0.0025828
  50 │   225506  -0.00179218
  51 │   227975  -0.00218923
  52 │   227981  -0.00257804
  53 │   227982   0.00108859
  54 │   227983   0.0023457
  55 │   227987   0.00424013
  56 │   227988   0.00416893
  57 │   227989   0.0052223
  58 │   227990   0.00510888
  59 │   227991   0.00551937
  60 │   227992   0.00546222
  61 │   227993   0.00548442
  62 │   227994   0.00543155
  63 │   227995   0.00561991
  64 │   227996   0.00577213
  65 │   227997   0.00313241
  66 │   227999   0.00426403
  67 │   228000   0.00566764
  68 │   228001   0.0055505
  69 │   228002   0.00541151
  70 │   228003   0.00571511
  71 │   228004   0.00545169
  72 │   228005   0.00546857
  73 │   228006   0.00546756
  74 │   228007   0.00544095
  75 │   228008   0.00523164
  76 │   228009   0.00120665
  77 │   228011   0.00293273
  78 │   228013   0.00276744
  79 │   228014   0.00555009
  80 │   228019   0.00294751
  81 │   228020   0.00306839
  82 │   240938   0.00145598
  83 │   240940   0.00168172
  84 │   240944   0.00151526
  85 │   240947   0.00147412
  86 │   240950   0.00124504
  87 │   250491   0.000802681
  88 │   260609   0.000631603
  89 │   260644  -0.00165691
  90 │   260645  -0.0013984
  91 │   286075  -0.00207122
  92 │   286080  -0.00209057
  93 │   286084  -0.00206814
  94 │   300066   0.000999134
  95 │   300068   0.00192851
  96 │   300076   0.000855309
  97 │   300084   0.00140229
  98 │   300091  -0.00133621
  99 │   300109  -0.0015229
 100 │   300112  -0.00160194
 101 │   300116  -0.00164927
 102 │   300124  -0.00149989
 103 │   300128  -0.00138723
 104 │   301456  -0.000425126
 105 │   301459  -0.00096663
 106 │   301462  -0.000971363
 107 │   301463  -0.00109852
 108 │   301464  -0.00102749
 109 │   301466  -0.000920746
 110 │   301467  -0.00109285
 111 │   301468  -0.00105324
 112 │   301469  -0.00171309
 113 │   301470  -0.00175047
 114 │   301471  -0.00105254
 115 │   301473  -0.00112642
 116 │   301476  -0.000997505
 117 │   301479  -0.000766033
 118 │   301480  -0.000847124
 119 │   303688  -0.00105975
 120 │   303690  -0.0011214
 121 │   303691  -0.0016729
 122 │   303694  -0.00128165
 123 │   303697  -0.00131466
 124 │   310035   0.0026855
 125 │   310039   0.00525498
 126 │   310047   0.00264672
 127 │   310056   0.00363115
 128 │   310062   0.00350276
 129 │   310064   0.00344013
 130 │   334237  -0.00140126
 131 │   334238  -0.0019781
 132 │   334259   0.0025121
 133 │   334263   0.000609481
 134 │   373938   0.00041478
 135 │   373948   0.00841933
 136 │   373950   0.00870749
 137 │   373951   0.00829166
 138 │   373952  -0.00889478
 139 │   373954  -0.00873927
 140 │   373955   0.00315522
 141 │   373956   0.00656767
 142 │   373962  -0.00586633
 143 │   373966   0.0042161
 144 │   373969  -0.00454891
 145 │   373973  -0.00421032
 146 │   373974  -0.000419704
 147 │   373976   0.00917177
 148 │   373978   0.00491206
 149 │   373979  -0.00886219
 150 │   373981  -0.000747733
 151 │   373987  -0.00671503
 152 │   373988  -0.00378211
 153 │   373991  -0.000596561
 154 │   373995   0.000645158
 155 │   374006   0.000613672
 156 │   391744  -0.00202962
 157 │   391746   0.00193933
 158 │   391750   0.000590971
 159 │   391754   0.00222308
 160 │   391757   0.00236534
 161 │   391760   0.00311523
 162 │   391762   0.00203805
 163 │   391767   0.000812497
 164 │   391768   0.0017481
 165 │   391777  -0.00227092
 166 │   391779   0.00817906
 167 │   391780   0.00804922
 168 │   391781   0.0126828
 169 │   391782   0.0130533
 170 │   391783   0.0130719
 171 │   391784  -0.00347964
 172 │   391785  -0.00798832
 173 │   391787   0.0131827
 174 │   391788   0.00606929
 175 │   391789   0.0119041
 176 │   391791   0.0111069
 177 │   391792  -0.0114711
 178 │   391793   0.011606
 179 │   391794   0.0110644
 180 │   391795  -0.0116922
 181 │   391796   0.00477883
 182 │   391798   0.00393462
 183 │   391799  -0.00603912
 184 │   391800  -0.00511555
 185 │   391801  -0.0052314
 186 │   391804  -0.00294541
 187 │   407582  -0.00220004
 188 │   407592  -0.00321686
 189 │   407600  -0.00339108
 190 │   423234   0.00263239
 191 │   423236   0.00190242
 192 │   423237   0.00227016
 193 │   423242   0.00248427
 194 │   423244   0.00495751
 195 │   423245   0.00489804
 196 │   423246   0.00415546
 197 │   423247   0.00510784
 198 │   423250   0.0049764
 199 │   423255   0.00281688
 200 │   423259   0.00161393
 201 │   423260   0.00246427
 202 │   423266   0.00102453
 203 │   423268   0.00105723
 204 │   423293   0.00109114
 205 │   423294   0.00142402
 206 │   432795  -0.00272011
 207 │   432796  -0.0014592
 208 │   432797  -0.00187044
 209 │   432801  -0.00264355
 210 │   438526  -0.00390099
 211 │   438531  -0.0031415
 212 │   438535   0.00309645
 213 │   438536   0.00277097
 214 │   438542   0.00278098
 215 │   450252  -0.00315379
 216 │   450500  -0.00112831
 217 │   450515   0.000884158
 218 │   450516   0.000577619
 219 │   450517   0.00058129
 220 │   450521   0.00158675
 221 │   450523   0.0015969
 222 │   450535  -0.00511613
 223 │   450537   0.00555122
 224 │   450538  -0.00460131
 225 │   450539  -0.00277392
 226 │   450540  -0.00495886

Trait 4: IHT estimated 14 non-genetic predictors
14×2 DataFrame
 Row │ Position  Estimated_β
     │ Int64     Float64
─────┼────────────────────────
   1 │        1  -1.76586e-7
   2 │        2   0.0472524
   3 │        3   0.00597123
   4 │        4   0.00545353
   5 │        5   0.00456532
   6 │        6  -0.000849169
   7 │        7   0.00110126
   8 │        8  -0.000527446
   9 │        9  -0.000424545
  10 │       10   0.000566604
  11 │       11   0.000334761
  12 │       12  -2.04952e-5
  13 │       13   0.000525995
  14 │       14   0.000393243

Trait 5: IHT estimated 261 nonzero SNP predictors
261×2 DataFrame
 Row │ Position  Estimated_β
     │ Int64     Float64
─────┼───────────────────────
   1 │    11577  -0.00527567
   2 │    11578  -0.00531382
   3 │    11579   0.00537022
   4 │    11580   0.00531884
   5 │    11581  -0.00522323
   6 │    11584  -0.00323971
   7 │    11590   0.00504338
   8 │    11592  -0.00373084
   9 │    11598  -0.0026579
  10 │    33128  -0.00283267
  11 │    33129  -0.00285383
  12 │    33130  -0.00288249
  13 │    33132  -0.00279971
  14 │    41945  -0.00475945
  15 │    41952  -0.00515093
  16 │    41953  -0.00286328
  17 │    41954  -0.00514663
  18 │    41955  -0.00515586
  19 │    41956  -0.00514454
  20 │    41959   0.00571221
  21 │    41963  -0.00574099
  22 │    41967  -0.00576964
  23 │    41969  -0.00316697
  24 │    41983  -0.00305675
  25 │    42913  -0.00255394
  26 │    42916  -0.00281326
  27 │    42919  -0.00311834
  28 │    42921  -0.00236624
  29 │    42925  -0.00374336
  30 │    42927  -0.00310587
  31 │    42928  -0.00372634
  32 │    42930  -0.00253267
  33 │    42931  -0.00305374
  34 │    42932  -0.00298719
  35 │    42933  -0.00568278
  36 │    42934  -0.00541672
  37 │    42935  -0.00544651
  38 │    42938  -0.00453374
  39 │    42941   0.00368623
  40 │    42942   0.0036811
  41 │    42943   0.00369541
  42 │    42945   0.00371947
  43 │    42947   0.00361362
  44 │    61929  -0.00304508
  45 │    61930  -0.00353765
  46 │    61932  -0.00378401
  47 │    61934  -0.00296951
  48 │    61937  -0.00298234
  49 │    70920  -0.00249993
  50 │    70928   0.00255908
  51 │    70930   0.00246595
  52 │    70931   0.00248065
  53 │    70932   0.00243007
  54 │    70933   0.00243104
  55 │    70935   0.00248872
  56 │    70938   0.00235922
  57 │    70941   0.00222131
  58 │    95588   0.0023786
  59 │   144088   0.00257986
  60 │   144090   0.00312573
  61 │   144091   0.0031652
  62 │   158406   0.00242488
  63 │   158407   0.00243751
  64 │   174902   0.00201046
  65 │   174909   0.00202836
  66 │   174916   0.0019
  67 │   174920   0.00193516
  68 │   174973   0.00196673
  69 │   174992   0.00202397
  70 │   175039   0.00195244
  71 │   194314  -0.00248012
  72 │   194328  -0.0024679
  73 │   194351  -0.00306232
  74 │   194353  -0.00736557
  75 │   194363  -0.00186431
  76 │   194364   0.00263211
  77 │   194365  -0.00191347
  78 │   194371  -0.00247199
  79 │   194373  -0.00254154
  80 │   194377   0.00391663
  81 │   194378   0.00314845
  82 │   194384  -0.00219785
  83 │   194385  -0.00247116
  84 │   194387  -0.00481448
  85 │   194388  -0.00487326
  86 │   194389  -0.00482433
  87 │   194390   0.00264228
  88 │   194394   0.00232718
  89 │   194397   0.00218444
  90 │   194398  -0.00320977
  91 │   194401   0.00368992
  92 │   194408   0.00272867
  93 │   194409  -0.0107038
  94 │   194410   0.00330812
  95 │   194411   0.00276934
  96 │   194413   0.00262475
  97 │   194414   0.0025906
  98 │   194415  -0.0110343
  99 │   194419  -0.00337529
 100 │   194420   0.00368371
 101 │   194423   0.0033186
 102 │   194425  -0.00325394
 103 │   194427  -0.00461267
 104 │   194428  -0.00281929
 105 │   194432   0.00300017
 106 │   194433   0.00235114
 107 │   194435   0.00234034
 108 │   194437   0.00228792
 109 │   194439  -0.00421929
 110 │   194455  -0.00484527
 111 │   194472  -0.00228756
 112 │   194489  -0.00410966
 113 │   208920   0.00274784
 114 │   208924  -0.00406912
 115 │   208925  -0.00494559
 116 │   208926  -0.00488821
 117 │   208927  -0.00495531
 118 │   208928  -0.00500448
 119 │   208934  -0.00485203
 120 │   208939  -0.00499989
 121 │   208941  -0.00505558
 122 │   208944  -0.00436767
 123 │   208947  -0.00492007
 124 │   208948  -0.0051485
 125 │   208949  -0.00490278
 126 │   208951  -0.00529271
 127 │   208952  -0.00504111
 128 │   208954  -0.00499508
 129 │   208956  -0.00379957
 130 │   208958   0.00239089
 131 │   208966  -0.002449
 132 │   225860   0.00214146
 133 │   225918   0.00207198
 134 │   225927  -0.00205251
 135 │   225929  -0.00209799
 136 │   226040   0.00211878
 137 │   227975   0.00323507
 138 │   227981   0.00270627
 139 │   227982  -0.004154
 140 │   227983  -0.00251204
 141 │   227987  -0.00478669
 142 │   227988  -0.00465863
 143 │   227989  -0.00606576
 144 │   227990  -0.00593429
 145 │   227991  -0.0075659
 146 │   227992  -0.00598028
 147 │   227993  -0.00757186
 148 │   227994  -0.00718559
 149 │   227995  -0.00628942
 150 │   227996  -0.00633583
 151 │   227997  -0.00372584
 152 │   227999  -0.00512624
 153 │   228000  -0.00712913
 154 │   228001  -0.00752986
 155 │   228002  -0.00743669
 156 │   228003  -0.00705013
 157 │   228004  -0.00744414
 158 │   228005  -0.0068487
 159 │   228006  -0.00625169
 160 │   228007  -0.00624566
 161 │   228008  -0.00733725
 162 │   228009  -0.00246404
 163 │   228011  -0.00353848
 164 │   228013  -0.0029902
 165 │   228014  -0.00729998
 166 │   228019  -0.00297567
 167 │   228020  -0.00283069
 168 │   228031  -0.00268888
 169 │   242601  -0.0043993
 170 │   242602  -0.00466986
 171 │   242603  -0.00448417
 172 │   242605  -0.00414743
 173 │   242606  -0.00405469
 174 │   242607  -0.00467853
 175 │   242609  -0.00414105
 176 │   242612  -0.00437566
 177 │   278270  -0.00147684
 178 │   278282  -0.00145132
 179 │   278287  -0.00146602
 180 │   278292  -0.00142312
 181 │   278296  -0.00144748
 182 │   278299  -0.00143541
 183 │   278303  -0.00144121
 184 │   278313  -0.00145416
 185 │   278316  -0.00130695
 186 │   278317  -0.00131945
 187 │   278318  -0.00127892
 188 │   301456   0.00333291
 189 │   301457   0.00214196
 190 │   301459   0.0039051
 191 │   301462   0.00399366
 192 │   301463   0.00404697
 193 │   301464   0.003729
 194 │   301466   0.00404947
 195 │   301467   0.00413514
 196 │   301468   0.0041774
 197 │   301469   0.00420628
 198 │   301470   0.00418776
 199 │   301471   0.00416427
 200 │   301472   0.00283509
 201 │   301473   0.00414616
 202 │   301474   0.00212521
 203 │   301475   0.00333077
 204 │   301476   0.00411919
 205 │   301479   0.00253834
 206 │   301480   0.00378673
 207 │   301481   0.00176553
 208 │   301482   0.00166179
 209 │   301489  -0.00177657
 210 │   309990  -0.00282315
 211 │   309993  -0.00529567
 212 │   309995  -0.00285742
 213 │   309996  -0.0069928
 214 │   309998   0.00569364
 215 │   309999  -0.00246046
 216 │   310000   0.00603881
 217 │   310003   0.00601133
 218 │   310006   0.00611132
 219 │   310010  -0.00979271
 220 │   310012   0.00616073
 221 │   310013   0.0060113
 222 │   310014  -0.00670983
 223 │   310015  -0.00722417
 224 │   310017   0.00624427
 225 │   310018  -0.00723131
 226 │   310019   0.00626549
 227 │   310020  -0.00698454
 228 │   310024   0.00365061
 229 │   310027  -0.0035588
 230 │   310030  -0.00395057
 231 │   310033  -0.00539036
 232 │   310037  -0.00370647
 233 │   310041  -0.00363159
 234 │   310057  -0.00467062
 235 │   310059  -0.00429456
 236 │   310060  -0.0035469
 237 │   310069  -0.00392077
 238 │   310070  -0.00395507
 239 │   310072  -0.00393289
 240 │   310082   0.00384311
 241 │   310103   0.00343827
 242 │   348293   0.00236178
 243 │   371857   0.00298075
 244 │   373976  -0.00426263
 245 │   373979   0.00400945
 246 │   407592   0.00239284
 247 │   407600   0.00254664
 248 │   411013  -0.00314214
 249 │   411030  -0.0028747
 250 │   434532  -0.00275341
 251 │   434545  -0.00338096
 252 │   434573  -0.00319946
 253 │   434574  -0.00318919
 254 │   438469   0.00345333
 255 │   438517   0.00268389
 256 │   438518   0.00521406
 257 │   438521   0.00283445
 258 │   438525   0.0040498
 259 │   438529   0.00570676
 260 │   438530   0.00742618
 261 │   438533   0.00445141

Trait 5: IHT estimated 14 non-genetic predictors
14×2 DataFrame
 Row │ Position  Estimated_β
     │ Int64     Float64
─────┼────────────────────────
   1 │        1  -1.20168e-5
   2 │        2  -0.0262513
   3 │        3   0.00632276
   4 │        4   0.00614365
   5 │        5   0.000419509
   6 │        6  -0.000325161
   7 │        7   0.000208495
   8 │        8   0.000717146
   9 │        9   0.000890117
  10 │       10  -5.80286e-5
  11 │       11   4.65475e-5
  12 │       12   0.000474678
  13 │       13   0.00172473
  14 │       14  -0.00242828

Trait 6: IHT estimated 265 nonzero SNP predictors
265×2 DataFrame
 Row │ Position  Estimated_β
     │ Int64     Float64
─────┼────────────────────────
   1 │    11577  -0.00489992
   2 │    11578  -0.00495562
   3 │    11579   0.00495713
   4 │    11580   0.00496572
   5 │    11581  -0.00487641
   6 │    11584  -0.00298812
   7 │    11590   0.00474782
   8 │    11592  -0.00353086
   9 │    11598  -0.00275781
  10 │    33128  -0.0035755
  11 │    33129  -0.00360473
  12 │    33130  -0.00359964
  13 │    33132  -0.00346979
  14 │    33136   0.00241612
  15 │    41945  -0.00536264
  16 │    41952  -0.00574156
  17 │    41953  -0.00378575
  18 │    41954  -0.00574245
  19 │    41955  -0.00573328
  20 │    41956  -0.00572409
  21 │    41959   0.00582833
  22 │    41963  -0.00593163
  23 │    41964   0.00441189
  24 │    41965   0.00439069
  25 │    41966  -0.00321327
  26 │    41967  -0.00589922
  27 │    41968   0.00341189
  28 │    41969  -0.00248846
  29 │    41972  -0.00296531
  30 │    41975   0.00368512
  31 │    41983  -0.0029554
  32 │    42900   0.00328891
  33 │    42913  -0.00330481
  34 │    42916  -0.0032977
  35 │    42919  -0.00355175
  36 │    42921  -0.00297805
  37 │    42925  -0.00447379
  38 │    42927  -0.00357786
  39 │    42928  -0.0044511
  40 │    42930  -0.00300997
  41 │    42931  -0.00356794
  42 │    42932  -0.00346712
  43 │    42933  -0.00673749
  44 │    42934  -0.00652426
  45 │    42935  -0.00655165
  46 │    42936  -0.00269489
  47 │    42938  -0.00533606
  48 │    42941   0.00438556
  49 │    42942   0.00440715
  50 │    42943   0.00443562
  51 │    42945   0.00451676
  52 │    42947   0.00438117
  53 │    42956  -0.00273231
  54 │    42977   0.00296512
  55 │    61929  -0.00298395
  56 │    61930  -0.00363561
  57 │    61932  -0.00384619
  58 │    61934  -0.00331837
  59 │    61937  -0.003348
  60 │    61945  -0.00230595
  61 │    70920  -0.00183151
  62 │    70928   0.00164461
  63 │    70930   0.00196969
  64 │    70931   0.00195292
  65 │    70932   0.00189923
  66 │    70933   0.00192657
  67 │    70935   0.00186063
  68 │    70938   0.0017296
  69 │    70941   0.00154886
  70 │    95588   0.0026329
  71 │   144088   0.00286398
  72 │   144090   0.00361972
  73 │   144091   0.00363253
  74 │   158406   0.00277043
